"","State","Name","Saffir_Simpson_Category","Date_Closest","Year_Closest","Date_Formed","Date_Extratropical","Date_Dissipated","Fatalities","Damage","URL_Searched","Damage_Estimate","Fatalities_Estimate","Detail_QA"
"69","Florida","Unnamed","1",1885-08-24,"1885",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"70","Florida","Unnamed","2",1886-06-21,"1886",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"71","Florida","Unnamed","2",1886-06-30,"1886",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"72","Florida","Unnamed","1",1886-07-18,"1886",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"73","Florida","Unnamed","1",1887-07-27,"1887",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"74","Florida","Unnamed","3",1888-08-16,"1888",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"75","Florida","Unnamed","2",1888-10-11,"1888",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"76","Florida","Unnamed","1",1891-08-24,"1891",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"77","Florida","Unnamed","1",1893-08-27,"1893",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"78","Florida","Unnamed","2",1894-09-25,"1894",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"79","Florida","Unnamed","3",1894-10-09,"1894",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"80","Florida","Unnamed","2",1896-07-07,"1896",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"81","Florida","Unnamed","3",1896-09-29,"1896",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"82","Florida","Unnamed","1",1898-08-03,"1898",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"83","Florida","Unnamed","2",1898-10-02,"1898",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"84","Florida","Unnamed","2",1899-08-01,"1899",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"85","Florida","Unnamed","4",1900-08-27,"1900",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"86","Florida","Unnamed","1",1903-08-11,"1903",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"87","Florida","Unnamed","1",1904-10-17,"1904",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"88","Florida","Unnamed","1",1906-06-16,"1906",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"89","Florida","Unnamed","2",1906-09-27,"1906",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"90","Florida","Unnamed","3",1906-10-18,"1906",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"91","Florida","Unnamed","3",1909-10-11,"1909",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"92","Florida","Unnamed","2",1910-10-18,"1910",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"93","Florida","Unnamed","1",1911-08-11,"1911",NA,NA,NA,NA,NA,NA,NA,NA,"No"
